Date	Case#	County	Address	Phone	Trailer	Link
january 04 2023,22 sp 104, burke county ,property being located at 108 evans street morganton north carolina.   back references: book 1100 page 703 and book 779 page 1730 all of the burke county registry.  the above described property is identified in the burke county tax collector's office as pin. 27032,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=327122
Couldn't locate date of sale,22 sp 158, beaufort county ,address of 70 moon road washington nc,919-829-0799,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz455104&FileName=ClassAd-1564149-1.pdf
Couldn't locate date of sale,22 sp 20, hertford county ,,980-201-3840,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz454885&FileName=ClassAd-1565051-1.pdf
Couldn't locate date of sale,19 sp 17, currituck county ,,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz454598&FileName=ClassAd-435656-1.pdf
january 03 2023,22 sp 347, catawba county ,property being located at 520 west pine street maiden north carolina,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326915
Couldn't locate date of sale,Case number not found, pitt county ,,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz454599&FileName=ClassAd-435306-1.pdf
january 05 2023,22 sp 4, harnett county ,commonly known as 128 country pl sanford nc 27330,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326709
january 03 2023,22 sp 277, burke county ,address of property: 7609 virginia ridge (pin 2648-94-3261) and 7625 virginia ridge (pin 2648-94-4031) connelly springs nc 28612,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326572
january 03 2023,Case number not found, vance county ,address of property: 310 mitchell st henderson nc 27536,704-970-0391,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326540
january 04 2023,22 sp 91, carolina county ,commonly known as: 1308 crew street roanoke rapids nc 27870,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326539
Couldn't locate date of sale,22 sp 78, currituck county ,,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz453881&FileName=ClassAd-435754-1.pdf
Couldn't locate date of sale,21 sp 48, pasquotank county ,,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz453880&FileName=ClassAd-435557-1.pdf
Couldn't locate date of sale,22 sp 79, edgecombe county ,,919-829-0799,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz453952&FileName=ClassAd-435493-1.pdf
Couldn't locate date of sale,22 sp 92, the county ,,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz453919&FileName=ClassAd-435213-1.pdf
january 06 2023,22 sp 643, buncombe county ,property being located at 40 beaverdam loop road candler north carolina,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326061
january 06 2023,22 sp 650, buncombe county ,property being located at 12 damascus road alexander north carolina. <br/><br/>being the same property as conveyed to ethel elaine crites by deed recorded may 4 2009 in deed book 4677 page 657-658 buncombe county north carolina register of deeds office.<br/><br/>included in the real property is a manufactured home that has been permanently affixed to the subject property and the title has been surrendered to the north carolina department of motor vehicles.<br/><br/>said manufactured home is described as follows:<br/><br/>manufacturer's name: 2009 norris<br/>model: fsh28523,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326060
january 06 2023,22 sp 394, buncombe county ,property being located at 796 riverside drive asheville north carolina.<br/><br/>this conveyance is made subject to easements rights of way and encumbrances of record.<br/><br/>together and including all right title and interest of the grantor without warranty of any kind in and to the following land:<br/>being all of the land lying between the western line of the 1.224-acre tract of land described above and the eastern edge of the french broad river limited on the north by the northern line extended westward of the 1.224-acre tract of land and on the south by the southern line extended westward of the 1.224-acre of land. <br/><br/>being and all the same premises conveyed in deed book 4965 page 1002<br/><br/>parcel id#: 9639-76-1460-00000,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326059
january 03 2023,22 sp 260, buncombe county ,address of property: 10 sky forest drive swannanoa nc 28778,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326058
january 04 2023,22 sp 27, person county ,address of property: 2176 halifax road roxboro nc 27573,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326023
january 04 2023,22 sp 107, person county ,address of property: 371 cavel chub lake road roxboro nc 27574,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326022
Couldn't locate date of sale,Case number not found, the county ,,704-970-0391,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz453923&FileName=ClassAd-435446-1.pdf
january 05 2023,22 sp 284, catawba county ,property being located at 5655 linville drive hickory north carolina,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326005
Couldn't locate date of sale,22 sp 49, the county ,,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz453937&FileName=ClassAd-435758-1.pdf
december 29 2022,22 sp 82, hoke county ,address: 162 stonebriar ave raeford nc 28376,919-800-3528,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=326240
Couldn't locate date of sale,22 sp 39, currituck county ,,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz453363&FileName=ClassAd-435421-1.pdf
december 29 2022,22 sp 94, sampson county ,address of property:  710 w. main street   clinton nc 28328,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325837
january 03 2023,22 sp 219, rockingham county ,property being located at 495 salem church road reidsville north carolina,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325807
january 03 2023,22 sp 297, rockingham county ,property being located at 410 fernwood avenue reidsville north carolina,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325805
december 30 2022,Case number not found, the county ,address is: 720 ross road linc,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325635
january 03 2022,22 sp 87, applicable county ,commonly known as 126 gar-dens dr. manteo nc 27954,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz453502&FileName=ClassAd-1561548-1.pdf
january 05 2023,22 sp 197, robeson county ,commonly known as 5310 lovette rd and 12.33-acre parcel adjacent to 5310 lovette rd lumberton nc 28358,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325514
Couldn't locate date of sale,22 sp 169, robeson county ,,910-862-8006,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325513
january 05 2023,22 sp 131, macon county ,commonly known as: 19 sawmill village lane franklin nc 28734,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325505
december 21 2022,22 sp 343, brunswick county ,property being located at 3215 marshview drive southwest supply north carolina,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=321390
january 05 2023,22 sp 89, sampson county ,property being located at 215 powell street clinton north carolina.   [pin: 12025,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325434
january 03 2023,22 sp 96, iredell county ,commonly known as 233 culp street mooresville nc 28115,980-201-3840,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325381
december 22 2022,22 sp 372, iredell county ,commonly known as: 533 n main street troutman nc 28166,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325164
december 20 2022,22 sp 139, henderson county ,address: 1416 hickory acres rd. hendrsonville nc 28792,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=325162
december 28 2022,Case number not found, guilford county ,address below on or before march 3 2023 or this notice will be pleaded in bar of their recovery. all persons firms and corporations indebted to the said estate will please make immediate payment to the undersigned.   this the 2nd day of december 2022.   gwendolyn townsend administrator of the estate of walter brent townsend   jennifer r. lynch roberson haworth &amp; reese p.l.l.c. attorneys and counsellors at law suite 300 pinnacle bank building post office box 1550 high point nc 27261,704-970-0391,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=324577
Couldn't locate date of sale,22 sp 137, beaufort county ,property being located at 1568 clay bottom school road blounts creek north carolina,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/PDFDocument.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz452365&FileName=ClassAd-1558562-1.pdf
december 19 2022,22 sp 311, harnett county ,address of property: 44 supreme drive lillington nc 27546,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=324204
december 22 2022,22 sp 118, burke county ,commonly known as 3300 icard rhodhiss road connelly springs nc 28612,980-201-3840,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=323816
december 22 2022,22 sp 239, iredell county ,property located at 2333 island ford road statesville nc 28625,,No Trailer,https://www.ncnotices.com/(S(tyiq0mlhukimk4nqrpwkqtlz))/Details.aspx?SID=tyiq0mlhukimk4nqrpwkqtlz&ID=323788
